id,user_query,bot_response,language,created_at
1,What is the fee submission deadline?,"The fee submission deadline for current semester is September 30, 2024. Late fee penalty is ₹50 per day.",en,2025-09-23 10:00:00
2,फीस की आखरी तारीख क्या है?,वर्तमान सेमेस्टर के लिए फीस जमा करने की अंतिम तिथि 30 सितंबर 2024 है। विलंब शुल्क ₹50 प्रति दिन है।,hi,2025-09-23 10:05:00
3,How can I apply for scholarships?,"Scholarship forms are available online at student.rtu.edu/scholarships. Submission deadline is October 15, 2024.",en,2025-09-23 10:10:00
4,लाइब्रेरी कब खुलती है?,लाइब्रेरी सोमवार से शनिवार सुबह 8:00 बजे से रात 8:00 बजे तक खुलती है। रविवार और सार्वजनिक छुट्टियों को बंद रहती है।,hi,2025-09-23 10:15:00
5,When will the exam timetable be released?,"Semester exams begin December 10, 2024. Timetable will be posted 2 weeks before exams.",en,2025-09-23 10:20:00
6,दस्तावेज़ कौन-कौन से चाहिए?,"Required documents include: Aadhar card, 10th/12th marksheet, transfer certificate, caste certificate (if applicable).",hi,2025-09-23 10:25:00
7,Admission office contact?,"Admission office email: admission@rtu.edu, Phone: 0141-277xxxx",en,2025-09-23 10:30:00
8,Scholarship form kaise milega?,"Scholarship forms are available online at student.rtu.edu/scholarships. Submission deadline is October 15, 2024.",hi,2025-09-23 10:35:00
9,Library timings?,"Library opens Monday-Saturday 8:00 AM to 8:00 PM, closed on Sundays & public holidays.",en,2025-09-23 10:40:00
10,Exam schedule kab aayega?,"Semester exams begin December 10, 2024. Timetable will be posted 2 weeks before exams.",hi,2025-09-23 10:45:00
